country,total_cases,total_deaths,total_recovered,active_cases,serious_critical,total_cases_per_1m_pop,deaths_per_1m_pop,total_tests,tests_per_1m_pop,population,name,country_population,region
Georgia,1861665,17132,0,0,0,0,469082,4317,16920079,4263340,Georgia,4933674,Middle East
Jordan,1746997,14122,"1,731,007",0,"1,868",59,169597,1371,17201885,1669945,Jordan,10909567,Middle East
Ireland,1734582,9491,"1,724,921",0,170,19,345521,1891,13083449,2606161,Ireland,5224884,Europe
Pakistan,1581936,30664,"1,538,689",0,"12,583",0,6893,134,30589153,133292,Pakistan,238181034,South Asia
Finland,1516117,11958,"1,503,989",+14,170,0,272930,2153,12108977,2179850,Finland,5587442,Europe
Norway,1509732,6638,"1,503,094",0,0,0,273930,1204,11002430,1996315,Norway,5509591,Europe
Kazakhstan,1411831,13848,"1,383,020",0,"14,963",24,73514,721,11575012,602707,Kazakhstan,19245793,Central Asia
Lithuania,1397806,9897,"1,387,478",0,431,0,525154,3718,10540357,3959997,Lithuania,2711566,Europe
Slovenia,1356546,7100,"1,349,424",0,22,0,652803,3417,2847701,1370382,Slovenia,2102106,Europe
Bulgaria,1339851,38748,"1,292,944",0,"8,159",22,195753,5661,11671043,1705147,Bulgaria,6919180,Europe
Croatia,1309728,18687,"1,258,432",0,"32,609",0,322650,4604,5660084,1394355,Croatia,4208973,Europe
Guatemala,1291293,20289,"1,269,891",0,"1,113",5,69484,1092,7593848,408622,Guatemala,17422821,Central America
Morocco,1278992,16303,0,0,0,0,33860,432,13001033,344191,Morocco,36561813,Africa
Lebanon,1243838,10952,"1,087,587",0,"145,299",74,186068,1638,4795578,717380,Lebanon,5261372,Middle East
Costa Rica,1238883,9428,0,0,0,0,239058,1819,4659757,899158,Costa Rica,5151140,Central America
Bolivia,1212131,22407,"1,177,145",0,"12,579",220,101073,1868,2710261,225993,Bolivia,11758869,South America
Tunisia,1153361,29423,0,0,0,0,95741,2442,5013383,416164,Tunisia,11811335,Africa
Cuba,1115251,8530,"1,106,660",0,61,0,98645,754,14402674,1273936,Cuba,11032343,Central America
Ecuador,1070188,36043,"1,034,145",0,0,0,59083,1990,3082403,170173,Ecuador,17093159,South America
UAE,1067030,2349,0,0,0,0,105837,233,200732262,19910389,UAE,9856612,Middle East
Panama,1059893,8727,"1,051,102",0,64,16,238341,1962,7882622,1772585,Panama,3928646,Central America
Uruguay,1041111,7664,"1,030,944",0,"2,503",18,297799,2192,6114822,1749083,Uruguay,3398239,South America
Mongolia,1011496,2284,"1,009,212",0,0,0,299429,676,4030048,1193000,Mongolia,3198913,East Asia/Southeast Asia
Nepal,1003450,12031,"991,322",0,97,0,33199,398,6047766,200088,Nepal,30424878,South Asia
Belarus,994037,7118,"985,592",0,"1,327",0,105381,755,13646641,1446722,Belarus,9441842,Europe
Latvia,982505,6715,"971,406",0,"4,384",0,531418,3632,7885792,4265272,Latvia,1862687,Europe
Saudi Arabia,841469,9646,0,0,0,0,23475,269,45481735,1268848,Saudi Arabia,34783757,Middle East
Paraguay,837602,20155,0,0,0,0,114648,2759,2657506,363751,Paraguay,7272639,South America
Azerbaijan,835234,10400,"824,089",0,745,0,81089,1010,7748050,752223,Azerbaijan,10282283,Middle East
Bahrain,729549,1574,"727,915",0,60,0,408944,882,10948549,6137138,Bahrain,1526929,Middle East
Cyprus,681110,1365,"679,745",0,0,0,556741,1116,9640118,7879860,Cyprus,1281506,Europe
Dominican Republic,675890,4384,"671,316",0,190,4,61131,397,3740928,338350,Dominican Republic,10597348,Central America
Sri Lanka,672754,16897,"655,852",0,5,0,31181,783,6486117,300619,Sri Lanka,23044123,South Asia
Kuwait,667158,2570,0,0,0,0,152308,587,8455743,1930391,Kuwait,3032065,Middle East
Myanmar,641873,19495,"620,159",0,"2,219",0,11622,353,11711514,212061,Myanmar,57069099,East Asia/Southeast Asia
Moldova,635145,12218,0,0,0,0,158265,3044,3216305,801437,Moldova,3323875,Europe
Estonia,628070,3001,0,0,0,0,475123,2270,6968103,5271239,Estonia,1220042,Europe
Palestine,621008,5404,"615,445",0,159,0,116173,1011,3078533,575907,Palestine,1957062,Middle East
Venezuela,552695,5856,"546,537",0,302,31,18885,200,3359014,114771,Venezuela,29069153,South America
Egypt,516023,24613,"442,182",0,"49,228",122,4861,232,3693367,34792,Egypt,106437241,Africa
Qatar,514524,690,"513,687",0,147,16,172664,232,4065369,1364257,Qatar,2479995,Middle East
Libya,507274,6437,"500,835",0,2,0,72048,914,2483848,352782,Libya,7017224,Africa
Ethiopia,501157,7574,"488,171",0,"5,412",0,4148,63,5565340,46066,Ethiopia,110871031,Africa
Honduras,474590,11165,0,0,0,0,46432,1092,1660662,162472,Honduras,9346277,Central America
Armenia,451831,8777,"435,162",0,"7,892",0,152031,2953,3242901,1091164,Armenia,3011609,Middle East
Bosnia and Herzegovina,403615,16388,"379,084",0,"8,143",0,124215,5044,1884721,580036,Bosnia and Herzegovina,3824782,Europe
Oman,399449,4628,0,0,0,0,75028,869,25000000,4695724,Oman,3694755,Middle East
Luxembourg,391232,1232,0,0,0,0,609044,1918,4587145,7140959,Luxembourg,639589,Europe
Zambia,349304,4069,"341,316",0,"3,919",0,17940,209,4112961,211244,Zambia,19077816,Africa
Kenya,344130,5689,"337,309",0,"1,132",0,6122,101,3967062,70569,Kenya,54685051,Africa
Brunei,343719,225,"243,601",0,"99,893",3,771655,505,717784,1611437,Brunei,471103,East Asia/Southeast Asia
Albania,334863,3605,"330,233",0,"1,025",0,116825,1258,1941032,677173,Albania,3088385,Europe
Botswana,330638,2801,"327,049",0,788,1,135443,1147,2026898,830300,Botswana,2350667,Africa
Montenegro,296542,2846,"291,794",0,"1,902",0,472238,4532,2769281,4410034,Montenegro,607414,Europe
Algeria,272010,6881,"183,061",0,"82,068",0,5998,152,230960,5093,Algeria,43576691,Africa
Nigeria,267188,3155,"259,953",0,"4,080",11,1233,15,5708974,26339,Nigeria,219463862,Africa
Zimbabwe,266359,5740,"258,888",0,"1,731",12,17373,374,2525756,164744,Zimbabwe,14829988,Africa
Uzbekistan,253662,1637,"241,486",0,"10,539",23,7378,48,1377915,40077,Uzbekistan,30842796,Central Asia
Afghanistan,234174,7996,"211,080",0,"15,098",0,5746,196,1390730,34125,Afghanistan,37466414,South Asia
Mozambique,233731,2250,"228,805",0,"2,676",11,7064,68,1371127,41437,Mozambique,30888034,Africa
Laos,218970,758,0,0,0,0,29270,101,1233207,164845,Laos,7574356,East Asia/Southeast Asia
Iceland,209906,229,0,0,0,0,607731,663,1996384,5780036,Iceland,354234,Europe
Kyrgyzstan,206897,2991,"196,406",0,"7,500",131,30750,445,1907195,283460,Kyrgyzstan,6018789,Central Asia
El Salvador,201855,4230,"179,410",0,"18,215",0,30816,646,2610114,398467,El Salvador,6528135,Central America
Trinidad and Tobago,191496,4390,"187,078",0,28,0,136143,3121,913289,649295,Trinidad and Tobago,1221047,Central America
Maldives,186694,316,"163,687",0,"22,691",25,345100,584,2213831,4092223,Maldives,390669,South Asia
Namibia,172389,4106,"167,099",0,"1,184",0,65451,1559,1062663,403460,Namibia,2678191,Africa
Uganda,172149,3632,"100,431",0,"68,086",0,3554,75,3012408,62198,Uganda,44712143,Africa
Ghana,171889,1462,"170,425",0,2,0,5306,45,2541625,78456,Ghana,32372889,Africa
Jamaica,156869,3756,0,0,0,0,52551,1258,1183986,396633,Jamaica,2816602,Central America
Cambodia,139103,3056,"136,044",0,3,0,8102,178,3091420,180062,Cambodia,17304363,East Asia/Southeast Asia
